序號,機關代碼,機關名稱,網站名稱,網址,標章等級,登錄日期,標章狀態
2975,A53000000A,原住民族委員會,原住民族委員會臺東縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/taitung,AA,109/9/11,啟用
2976,A53000000A,原住民族委員會,原住民族委員會宜蘭縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/yilan,AA,109/9/11,啟用
2977,A53000000A,原住民族委員會,原住民族委員會花蓮縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/hualien,AA,109/9/11,啟用
2978,A53000000A,原住民族委員會,原住民族委員會屏東縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/pingtung,AA,109/9/11,啟用
2979,A53000000A,原住民族委員會,原住民族委員會臺北市部落大學資訊服務網,https://www.tbc.apc.gov.tw/taipei,AA,109/9/11,啟用
2980,A53000000A,原住民族委員會,原住民族委員會台中市部落大學資訊服務網,https://www.tbc.apc.gov.tw/taichung,AA,109/9/11,啟用
2981,A53000000A,原住民族委員會,原住民族委員會嘉義縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/chiayi,AA,109/9/11,啟用
2982,A53000000A,原住民族委員會,原住民族委員會臺南市部落大學資訊服務網,https://www.tbc.apc.gov.tw/tainan,AA,109/9/11,啟用
2983,A53000000A,原住民族委員會,原住民族委員會南投縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/nantou,AA,109/9/11,啟用
2984,A53000000A,原住民族委員會,原住民族委員會新竹縣部落大學資訊服務網,https://www.tbc.apc.gov.tw/hsinchu,AA,109/9/11,啟用
2985,A53000000A,原住民族委員會,部落大學資訊服務網,https://www.tbc.apc.gov.tw/,AA,109/9/11,啟用
2986,A53000000A,原住民族委員會,原住民族委員會高雄市部落大學資訊服務網,https://www.tbc.apc.gov.tw/kaohsiung,AA,109/9/11,啟用
2987,A60000000E,國立故宮博物院,藝想獸譜 故宮X新竹241新媒體藝術展,https://theme.npm.edu.tw/exh109/bestiarum/,AA,109/9/11,啟用
2988,A53000000A,原住民族委員會,原住民族委員會桃園市部落大學資訊服務網,https://www.tbc.apc.gov.tw/taoyuan,AA,109/9/11,啟用
2989,A60000000E,國立故宮博物院,清宮鼻煙壼的時尚風潮,https://theme.npm.edu.tw/exh109/SnuffBottles/,AA,109/9/14,啟用
2990,397027600A,高雄市鳥松戶政事務所,高雄市鳥松戶政事務所網站,https://niaosong-house.kcg.gov.tw/,AA,109/9/14,啟用
2991,A60000000E,國立故宮博物院,故宮-風格故事,https://theme.npm.edu.tw/exh109/ArtisticStyle/,AA,109/9/14,啟用
2992,380000000A,桃園市政府,桃園市市民卡主題網,https://card.tycg.gov.tw/,A,109/9/14,啟用
2993,0,民間團體,車輛耗能研究網站,https://auto.itri.org.tw/,AA,109/9/15,啟用
2994,376589751Y,新竹市香山區虎林國民小學,新竹市香山區虎林國民小學校網,https://www.hlps.hc.edu.tw/,AA,109/9/15,啟用
2995,376589605X,新竹市立光華國民中學,新竹市立光華國民中學,https://www.khjh.hc.edu.tw,AA,109/9/15,啟用
2996,A11047100F,法務部矯正署臺北少年觀護所,法務部矯正署臺北少年觀護所,https://www.tpj.moj.gov.tw/,A,109/9/15,啟用
2997,313020000G,經濟部工業局,經濟部航太產業發展推動小組,https://www.casid.org.tw/,AA,109/9/15,啟用
2998,387310000A,臺中市政府法制局,臺中市法規提案查詢系統,https://legal-management.taichung.gov.tw/,AA,109/9/15,啟用
2999,387310000A,臺中市政府法制局,臺中市訴願服務系統,https://appeal.taichung.gov.tw,AA,109/9/15,啟用
3000,376589738Y,新竹市東區龍山國民小學,新竹市東區龍山國民小學,https://www.lsps.hc.edu.tw,AA,109/9/15,啟用
3001,313200000G,經濟部水利署,前瞻基礎建設計畫-水環境建設行政透明專屬網站,https://flwe.wra.gov.tw/,AA,109/9/15,啟用
3002,376580000A,新竹市政府,新竹市政府產業發展處,https://dep-construction.hccg.gov.tw,A,109/9/15,啟用
3003,A11043200F,法務部矯正署臺北女子看守所,法務部矯正署臺北女子看守所,https://www.sld.moj.gov.tw,A,109/9/15,啟用
3004,313020000G,經濟部工業局,經濟部工業局跨域數位人才加速躍升計畫,https://www.digitalent.org.tw,AA,109/9/15,啟用
3005,379120000J,臺北市政府社會局,臺北市政府社會局共融式遊戲場,https://play4u.gov.taipei,A,109/9/15,啟用
3006,397140000I,高雄市政府衛生局,高雄市政府衛生局長期照顧中心,https://ltc.kchb.gov.tw/,A,109/9/16,啟用
3007,371020000A,金門縣政府,金門縣政府金門縣特殊教育資訊服務網,https://spe.km.edu.tw/,AA,109/9/16,啟用
3008,397020000A,高雄市政府民政局,高雄市政府民政局里民防災卡,https://precaution.kcg.gov.tw/,AA,109/9/16,啟用
3009,345000000G,行政院農業委員會,行政院農業委員會農業兒童網,https://kids.coa.gov.tw/,AA,109/9/16,啟用
3010,376580000A,新竹市政府,新竹市政府財政處,https://dep-finance.hccg.gov.tw,A,109/9/16,啟用
3011,380000000A,桃園市政府,桃園市政府,https://www.tycg.gov.tw/,AA,109/9/16,啟用
